trip_id,driver_id,trip_date,duration_minutes,distance_miles,average_speed_mph,max_speed_mph,harsh_braking_events,harsh_acceleration_events,sharp_cornering_events,phone_usage_seconds,night_driving,rush_hour,highway_percent,weather_adverse,speeding_percent,had_claim,claim_amount
TRIP_DRIVER_000_0000,DRIVER_000,2025-01-15,111,39.20485901336569,32.90550473839461,62.01160378389476,0,1,0,35,1,1,0.0007787658410143283,1,0.26015247665778746,0,0.0
TRIP_DRIVER_000_0001,DRIVER_000,2025-03-30,53,26.713958352661066,26.995829151457663,40.0574138536961,2,1,2,36,0,1,0.5632882178455393,0,0.07969789943553676,0,0.0
TRIP_DRIVER_000_0002,DRIVER_000,2025-04-02,115,34.479912422447455,33.299899733478625,83.31652252243629,1,0,1,27,0,1,0.44975413336976566,0,0.35290568350761076,0,0.0
TRIP_DRIVER_000_0003,DRIVER_000,2025-01-15,76,28.95175474586457,30.62502780077471,90.35526371616145,5,0,0,26,0,0,0.2934881747180381,0,0.13456074499611403,0,0.0
TRIP_DRIVER_000_0004,DRIVER_000,2025-06-12,37,30.692038764269558,42.789026355400466,73.30003877955419,3,1,1,28,0,1,0.8489138242660839,0,0.14570349969415924,0,0.0
TRIP_DRIVER_000_0005,DRIVER_000,2025-01-27,13,35.82248159460358,18.326724624354938,61.65430997956461,2,2,1,34,1,1,0.295633685837714,0,0.21186839491434556,0,0.0
TRIP_DRIVER_000_0006,DRIVER_000,2025-03-25,34,44.280732687024546,24.73035063015822,44.20563988548428,2,1,0,29,0,0,0.6924360328902703,0,0.14814568044380477,0,0.0
TRIP_DRIVER_000_0007,DRIVER_000,2025-06-09,100,28.346998098849717,27.115085131741225,41.05987596794124,1,2,1,35,0,0,0.552893089071328,0,0.09916402166928708,0,0.0
TRIP_DRIVER_000_0008,DRIVER_000,2025-05-25,42,19.021373503243407,33.96917491780738,72.33493646879646,1,1,0,35,0,0,0.6451727904094499,0,0.28218934520021227,0,0.0
TRIP_DRIVER_000_0009,DRIVER_000,2025-03-23,108,7.73852626315367,25.231990531507755,43.73184604517965,4,2,0,35,0,1,0.8971102599525771,1,0.3088706875267596,0,0.0
TRIP_DRIVER_000_0010,DRIVER_000,2025-03-16,117,8.919806990636076,41.956625655812374,70.8444006582247,0,0,1,26,0,1,0.22426930946055978,0,0.1460827500185125,0,0.0
TRIP_DRIVER_000_0011,DRIVER_000,2025-05-28,12,42.61194711421472,34.7283867690103,68.74777556039818,0,1,0,41,1,0,0.5769038846263591,0,0.13348092010888585,0,0.0
TRIP_DRIVER_000_0012,DRIVER_000,2025-05-27,8,2.191482355141238,34.364168877215036,47.23188974433494,4,5,0,39,0,0,0.936154774160781,0,0.245926374796282,0,0.0
TRIP_DRIVER_000_0013,DRIVER_000,2025-02-01,51,49.5126386551089,19.202520457095723,65.99893325695277,4,1,3,32,0,1,0.795792669436101,1,0.17630657082493323,0,0.0
TRIP_DRIVER_000_0014,DRIVER_000,2025-03-07,36,29.335726908812525,16.078268213902263,63.09869337423256,2,0,0,39,0,0,0.7699935530986108,0,0.2617751665151726,0,0.0
TRIP_DRIVER_000_0015,DRIVER_000,2025-04-19,100,27.03637694683925,31.219053648303195,72.54944695934861,3,1,1,39,0,0,0.15643704267108605,0,0.23967602318130865,0,0.0
TRIP_DRIVER_000_0016,DRIVER_000,2025-04-27,5,47.78839875249651,37.13690750087305,67.98027526507428,2,1,0,24,0,1,0.7036578593800237,0,0.10425827196477294,0,0.0
