driver_id,total_trips,duration_minutes_mean,duration_minutes_std,total_driving_time_minutes,distance_miles_mean,distance_miles_std,total_distance_miles,average_speed_mph_mean,average_speed_mph_std,max_speed_mph_mean,max_speed_mph_max,harsh_braking_events_mean,harsh_braking_events_sum,harsh_acceleration_events_mean,harsh_acceleration_events_sum,sharp_cornering_events_mean,sharp_cornering_events_sum,total_harsh_events_mean,total_harsh_events_sum,harsh_events_per_mile_mean,harsh_events_per_minute_mean,phone_usage_seconds_mean,phone_usage_seconds_sum,phone_usage_percent_mean,phone_usage_flag_mean,excessive_phone_use_mean,speeding_percent_mean,speed_variance_mean,speed_ratio_mean,high_speed_flag_mean,excessive_speed_flag_mean,night_driving_mean,rush_hour_mean,high_risk_time_mean,long_trip_flag_mean,short_trip_flag_mean,extended_duration_flag_mean,trip_efficiency_mean,data_quality_score_mean,gps_accuracy_avg_mean,low_quality_data_mean,poor_gps_accuracy_mean,avg_trips_per_day,avg_miles_per_trip,avg_duration_per_trip,harsh_driving_intensity,speed_risk_score,distraction_risk_score,timing_risk_score,composite_risk_score,risk_category,high_mileage_driver,frequent_driver,consistent_driver
0002af179ff1223f,12,32.625,22.2946,391.5,19.2492,12.2774,230.99,39.0583,6.1187,47.4,57.1,1.25,15,1.25,15,0.75,9,3.25,39,0.1883,0.1027,0.0,0,0.0,0.0,0.0,0.0977,8.3417,1.2157,0.0,0.0,0.25,0.5833,0.8333,0.0,0.25,0.0,0.5982,0.93,18.3363,0.0833,0.8333,0.4,19.249166666666667,32.625,3.25,0.039080000000000004,0.0,9.583,34.428324,High,0,0,1
003485c0a33db1b4,17,24.0529,12.4703,408.9,10.1388,6.6773,172.36,29.6059,4.7059,38.0529,51.0,0.7059,12,0.8824,15,0.9412,16,2.5294,43,0.3146,0.1163,9.0588,154,1.4313,0.1176,0.0588,0.0945,8.4471,1.2862,0.0,0.0,0.1765,0.7059,0.8824,0.0,0.1765,0.0,0.4328,0.887,17.0923,0.1765,0.8824,0.5666666666666667,10.138823529411766,24.052941176470586,2.5294999999999996,0.0378,4.0386,9.706499999999998,29.266939999999995,High,0,0,1
00b03adcdee26a16,9,28.9889,21.1209,260.9,24.0533,22.5892,216.48,47.6333,4.9513,60.2778,78.6,4.2222,38,4.5556,41,2.4444,22,11.2222,101,0.5119,0.3979,2.7778,25,0.4495,0.1111,0.0,0.3476,12.6444,1.2664,0.0,0.0,0.3333,0.4444,0.7778,0.1111,0.0,0.0,0.7893,0.8789,17.8971,0.2222,0.6667,0.3,24.05333333333333,28.988888888888887,11.222199999999999,0.13904000000000002,0.899,9.4435,114.601912,Very High,0,0,1
00c67cb4783ab2fa,18,23.7889,9.5601,428.2,18.0206,7.8179,324.37,49.1833,4.149,58.35,65.8,3.8889,70,2.6111,47,3.0,54,9.5,171,0.5939,0.4315,8.7222,157,0.5119,0.4444,0.0,0.2782,9.1667,1.1898,0.0,0.0,0.1667,0.7222,0.8889,0.0,0.0556,0.0,0.7524,0.891,14.9008,0.2222,0.6667,0.6,18.020555555555557,23.788888888888888,9.5,0.11128,1.0238,9.7225,97.489784,Very High,0,0,1
00c89280fe405154,17,23.0824,12.5857,392.4,12.4771,6.7808,212.11,30.6824,4.3216,43.5059,61.9,0.3529,6,0.4706,8,0.1765,3,1.0,17,0.0793,0.0448,8.5882,146,0.8647,0.1176,0.0,0.0251,12.8235,1.4369,0.0,0.0,0.2353,0.4118,0.6471,0.0,0.1176,0.0,0.5449,0.8912,16.2346,0.1176,0.8235,0.5666666666666667,12.477058823529413,23.08235294117647,1.0,0.01004,1.7294,7.647500000000001,12.397212000000001,Medium,0,0,1
00f1339f026d0abb,14,35.0,18.7965,490.0,18.5664,11.0994,259.93,35.2286,4.6709,48.2214,72.7,1.2143,17,1.3571,19,1.3571,19,3.9286,55,0.2414,0.1102,0.0,0,0.0,0.0,0.0,0.0649,12.9929,1.3708,0.0,0.0,0.0714,0.7143,0.7857,0.0,0.0714,0.0,0.5511,0.8927,14.0674,0.1429,0.7857,0.4666666666666667,18.56642857142857,35.0,3.9284999999999997,0.02596,0.0,8.214,40.935587999999996,High,0,0,1
0146d0dbbee1eb8b,12,26.4,10.5279,316.8,20.2767,11.1155,243.32,44.1667,4.0975,55.5333,69.5,0.6667,8,0.6667,8,0.9167,11,2.25,27,0.1089,0.0808,4.9167,59,0.3101,0.1667,0.0,0.0751,11.3667,1.2651,0.0,0.0,0.3333,0.5,0.8333,0.0833,0.0,0.0,0.7456,0.8519,14.8974,0.25,0.75,0.4,20.276666666666667,26.400000000000002,2.2500999999999998,0.03004,0.6202,9.9995,24.820011999999995,Medium,0,0,1
015d7c3a8cfbc0e9,20,24.385,13.0144,487.7,13.354,8.2443,267.08,34.315,5.4342,46.17,77.6,1.25,25,0.85,17,0.95,19,3.05,61,0.2378,0.1214,4.65,93,0.5178,0.1,0.0,0.0716,11.855,1.3408,0.0,0.0,0.1,0.75,0.85,0.0,0.1,0.0,0.5546,0.9119,18.191,0.1,0.85,0.6666666666666666,13.354,24.384999999999998,3.05,0.02864,1.0356,9.0,32.826392,High,0,0,1
017188caf2097abf,21,31.7286,19.0338,666.3,15.2076,8.6343,319.36,30.9905,5.105,38.9333,54.2,0.381,8,0.7619,16,0.4286,9,1.5714,33,0.1296,0.0558,0.0,0,0.0,0.0,0.0,0.0169,7.9429,1.2626,0.0,0.0,0.1429,0.6667,0.8095,0.0,0.0476,0.0,0.5106,0.8488,16.0693,0.2857,0.7143,0.7,15.207619047619048,31.728571428571428,1.5715,0.0067599999999999995,0.0,8.8105,17.479128,Medium,0,0,1
01d62493148fcd53,18,27.1222,16.3604,488.2,21.5239,15.2338,387.43,40.2944,4.945,52.5944,65.5,4.2778,77,3.2222,58,2.5556,46,10.0556,181,0.4986,0.3604,5.7222,103,0.6746,0.2222,0.0,0.3582,12.3,1.3045,0.0,0.0,0.1667,0.6667,0.8333,0.0556,0.0,0.0,0.7648,0.878,15.176,0.1667,0.7222,0.6,21.52388888888889,27.12222222222222,10.0556,0.14328000000000002,1.3492,9.1675,103.107084,Very High,0,0,1
020c073065ced129,14,26.8571,16.1334,376.0,12.7607,8.8176,178.65,27.15,4.0073,37.3571,48.0,0.5714,8,0.4286,6,0.4286,6,1.4286,20,0.1648,0.0563,0.0,0,0.0,0.0,0.0,0.0209,10.2071,1.375,0.0,0.0,0.2143,0.5714,0.7857,0.0,0.1429,0.0,0.4723,0.8999,13.813,0.1429,0.6429,0.4666666666666667,12.760714285714286,26.857142857142858,1.4285999999999999,0.00836,0.0,8.9285,16.074208,Medium,0,0,1
021a898be1fa2ade,10,23.25,10.9337,232.5,13.669,6.3271,136.69,33.49,4.9876,40.82,53.5,1.5,15,1.0,10,0.6,6,3.1,31,0.1936,0.1116,0.0,0,0.0,0.0,0.0,0.0635,7.33,1.2185,0.0,0.0,0.2,0.7,0.9,0.0,0.2,0.0,0.597,0.9038,14.4872,0.1,0.7,0.3333333333333333,13.669,23.25,3.1,0.025400000000000002,0.0,10.0,33.00762,High,0,0,1
022bb1b6bea40a10,9,37.4778,26.9974,337.3,23.8333,22.8343,214.5,39.0111,4.3378,49.9444,61.0,5.8889,53,3.5556,32,2.1111,19,11.5556,104,0.5744,0.2988,11.4444,103,0.5453,0.3333,0.0,0.4744,10.9333,1.2841,0.0,0.0,0.3333,0.5556,0.8889,0.1111,0.1111,0.0,0.5885,0.8698,13.2734,0.2222,0.6667,0.3,23.833333333333332,37.47777777777778,11.5556,0.18976,1.0906,10.555499999999999,118.26932799999999,Very High,0,0,1
