trip_id,driver_id,driver_trip_number,duration_minutes,distance_miles,average_speed_mph,max_speed_mph,harsh_braking_events,harsh_acceleration_events,sharp_cornering_events,phone_usage_seconds,speeding_percent,night_driving,rush_hour,time_of_day,start_zone,end_zone,data_quality_score,gps_accuracy_avg
trip_016937,0002af179ff1223f,1,17.3,9.64,26.0,27.3,1,1,0,0,0.036,1,0,early_morning,zone_37.67_-122.28,zone_37.64_-122.37,0.7082094066114618,21.113861887703305
trip_016938,0002af179ff1223f,2,6.7,4.64,43.0,57.1,1,0,0,0,0.109,0,1,morning_commute,zone_37.83_-122.26,zone_37.89_-122.19,0.996235401078631,20.336994429966037
trip_016939,0002af179ff1223f,3,34.2,28.98,48.8,51.7,2,0,0,0,0.093,0,1,evening_commute,zone_37.65_-122.36,zone_37.71_-122.29,0.8966698397607945,15.342455297272476
trip_016940,0002af179ff1223f,4,28.0,24.95,35.9,46.3,0,1,1,0,0.072,0,1,evening_commute,zone_37.79_-122.42,zone_37.71_-122.46,0.985349713815903,18.97812544394695
trip_016941,0002af179ff1223f,5,11.6,4.8,39.9,50.9,0,0,0,0,0.079,0,1,morning_commute,zone_37.87_-122.36,zone_37.84_-122.43,0.9832782308972611,9.109515089922745
trip_016942,0002af179ff1223f,6,12.3,4.82,35.1,37.7,1,0,1,0,0.148,0,1,evening_commute,zone_37.56_-122.2,zone_37.64_-122.26,0.9794097474010189,22.913072990064293
trip_016943,0002af179ff1223f,7,28.1,22.02,38.1,44.5,0,3,0,0,0.108,1,0,night,zone_37.78_-122.31,zone_37.78_-122.34,0.9746912064197858,16.100834024872526
trip_016944,0002af179ff1223f,8,22.3,10.63,41.7,49.6,0,2,1,0,0.16,0,1,morning_commute,zone_37.78_-122.54,zone_37.7_-122.56,0.8901349896742131,14.657875377192356
trip_016945,0002af179ff1223f,9,35.3,16.49,37.0,56.5,2,2,1,0,0.064,0,1,morning_commute,zone_37.63_-122.38,zone_37.66_-122.3,0.9831088668483984,22.561689982425154
trip_016946,0002af179ff1223f,10,49.8,36.29,36.5,45.9,2,1,2,0,0.182,1,0,early_morning,zone_37.61_-122.47,zone_37.55_-122.46,0.9068331235793992,7.855264502655628
trip_016947,0002af179ff1223f,11,73.2,34.55,48.3,50.3,3,4,0,0,0.085,0,0,midday,zone_37.78_-122.23,zone_37.71_-122.21,0.9421812300128812,32.59155696722292
trip_016948,0002af179ff1223f,12,72.7,33.18,38.4,51.0,3,1,3,0,0.036,0,0,midday,zone_37.72_-122.53,zone_37.7_-122.53,0.9141352559611169,18.47396803077616
trip_010080,003485c0a33db1b4,1,44.9,12.44,31.7,39.0,2,1,0,0,0.087,1,0,night,zone_37.64_-122.33,zone_37.58_-122.36,0.9352699651290486,27.067823874166205
trip_010081,003485c0a33db1b4,2,17.1,11.03,21.1,26.4,1,0,1,0,0.011,0,1,evening_commute,zone_37.66_-122.25,zone_37.65_-122.19,0.926760240914119,9.84316955443267
trip_010082,003485c0a33db1b4,3,42.2,20.81,37.7,48.1,2,0,4,0,0.123,0,1,evening_commute,zone_37.66_-122.28,zone_37.74_-122.22,0.9296658209535638,6.456519553818172
trip_010083,003485c0a33db1b4,4,26.1,9.62,27.3,29.9,1,2,1,0,0.122,0,1,morning_commute,zone_37.52_-122.29,zone_37.61_-122.32,0.8351494978245633,14.63847309076648
trip_010084,003485c0a33db1b4,5,20.6,10.79,29.3,51.0,0,0,0,0,0.109,0,1,evening_commute,zone_37.87_-122.47,zone_37.87_-122.44,0.9987387296040667,18.386470747341868
trip_010085,003485c0a33db1b4,6,44.5,27.19,32.8,44.9,0,2,1,0,0.101,0,0,midday,zone_37.64_-122.2,zone_37.58_-122.21,0.8797953783404132,18.819518372506167
trip_010086,003485c0a33db1b4,7,40.2,17.78,28.2,29.8,3,1,3,0,0.138,1,0,night,zone_37.69_-122.34,zone_37.71_-122.26,0.7681301874200943,14.77542788339386
trip_010087,003485c0a33db1b4,8,20.4,11.63,23.7,44.9,0,2,1,0,0.05,0,1,evening_commute,zone_37.88_-122.45,zone_37.88_-122.36,0.9434396034563491,13.676820155745135
trip_010088,003485c0a33db1b4,9,11.8,4.18,32.8,45.6,1,2,0,117,0.04,0,1,morning_commute,zone_37.72_-122.23,zone_37.74_-122.23,0.9790733020556192,12.06894223708845
trip_010089,003485c0a33db1b4,10,9.6,7.33,30.4,33.4,0,2,2,0,0.253,0,1,evening_commute,zone_37.52_-122.38,zone_37.62_-122.4,0.6142451116276098,18.420150951077368
trip_010090,003485c0a33db1b4,11,15.4,6.58,33.6,42.8,1,0,1,0,0.051,0,1,morning_commute,zone_37.7_-122.5,zone_37.65_-122.49,0.9186803588731606,20.28977311790638
trip_010091,003485c0a33db1b4,12,18.3,9.44,28.8,38.1,0,0,0,0,0.119,0,0,midday,zone_37.6_-122.23,zone_37.52_-122.28,0.915179757415368,18.366935876033537
trip_010092,003485c0a33db1b4,13,33.0,8.22,29.3,33.4,0,1,0,0,0.11,0,1,morning_commute,zone_37.76_-122.25,zone_37.81_-122.26,0.9776639124260518,18.447312414731556
trip_010093,003485c0a33db1b4,14,7.9,2.18,26.4,28.5,0,0,0,37,0.041,0,1,morning_commute,zone_37.64_-122.33,zone_37.56_-122.26,0.8958953421383422,12.996774615017944
trip_010094,003485c0a33db1b4,15,18.7,6.26,21.9,24.7,1,0,2,0,0.122,1,0,night,zone_37.66_-122.36,zone_37.68_-122.29,0.9658612763718587,10.057257501694519
trip_010095,003485c0a33db1b4,16,25.5,0.89,37.4,49.3,0,1,0,0,0.047,0,1,evening_commute,zone_37.51_-122.55,zone_37.45_-122.61,0.7705998519720749,43.588881366194634
trip_010096,003485c0a33db1b4,17,12.7,5.99,30.9,37.1,0,1,0,0,0.082,0,1,evening_commute,zone_37.56_-122.37,zone_37.57_-122.33,0.8252921050650169,12.668211262766631
trip_011189,00b03adcdee26a16,1,79.4,80.73,46.7,66.2,14,11,10,0,0.203,0,0,midday,zone_37.83_-122.34,zone_37.93_-122.43,0.9552650878635559,13.011187002480794
trip_011190,00b03adcdee26a16,2,34.7,23.47,52.3,54.9,5,6,3,0,0.074,1,0,night,zone_37.7_-122.31,zone_37.66_-122.23,0.9949729401655786,35.73352936010256
trip_011191,00b03adcdee26a16,3,10.3,9.25,52.0,78.6,3,2,0,0,0.174,0,0,midday,zone_37.84_-122.33,zone_37.76_-122.39,0.9704995364374105,9.679387713295501
trip_011192,00b03adcdee26a16,4,17.0,14.6,52.5,64.1,2,3,1,0,0.103,1,0,night,zone_37.54_-122.35,zone_37.46_-122.41,0.7848204402740534,31.930810747680347
trip_011193,00b03adcdee26a16,5,22.9,18.62,49.4,53.3,3,2,2,0,0.533,1,0,early_morning,zone_37.66_-122.26,zone_37.67_-122.28,0.9773655185722575,9.73390176309061
trip_011194,00b03adcdee26a16,6,20.0,8.28,37.9,41.8,2,2,1,0,0.29,0,1,morning_commute,zone_37.62_-122.56,zone_37.64_-122.65,0.6900427334190301,16.68170312813775
trip_011195,00b03adcdee26a16,7,33.0,22.61,46.1,66.4,2,6,1,0,0.941,0,1,evening_commute,zone_37.77_-122.45,zone_37.69_-122.44,0.8283282386583655,21.29349086595796
trip_011196,00b03adcdee26a16,8,33.3,30.38,49.4,56.5,6,5,2,0,0.513,0,1,evening_commute,zone_37.6_-122.35,zone_37.54_-122.27,0.8241970554129202,15.739485752072639
trip_011197,00b03adcdee26a16,9,10.3,8.54,42.4,60.7,1,4,2,25,0.297,0,1,evening_commute,zone_37.59_-122.51,zone_37.5_-122.44,0.8849470991032584,7.270126714607082
trip_013071,00c67cb4783ab2fa,1,16.0,14.16,53.6,55.3,5,0,1,3,0.25,0,1,morning_commute,zone_37.77_-122.46,zone_37.74_-122.5,0.7823284371888454,17.346219522952353
trip_013072,00c67cb4783ab2fa,2,32.9,28.5,47.5,64.4,2,3,5,0,1.0,0,0,midday,zone_37.83_-122.23,zone_37.9_-122.17,0.9696894051055851,11.650831008944143
trip_013073,00c67cb4783ab2fa,3,23.2,19.6,45.9,56.5,3,4,4,0,0.373,0,1,morning_commute,zone_37.72_-122.49,zone_37.72_-122.5,0.8817316891438285,16.860440081627253
trip_013074,00c67cb4783ab2fa,4,5.0,2.89,43.8,49.9,2,0,1,0,0.228,0,0,midday,zone_37.75_-122.52,zone_37.81_-122.48,0.9384712736004184,7.673028901595194
trip_013075,00c67cb4783ab2fa,5,16.8,10.1,47.5,53.5,5,1,3,14,0.266,0,1,evening_commute,zone_37.61_-122.29,zone_37.61_-122.31,0.9474458031683579,28.555930066965725
trip_013076,00c67cb4783ab2fa,6,13.3,9.93,47.7,65.8,2,4,0,0,0.213,0,1,morning_commute,zone_37.56_-122.21,zone_37.49_-122.16,0.9661479430370267,12.43638347865129
trip_013077,00c67cb4783ab2fa,7,35.4,19.01,47.4,55.2,3,7,4,30,0.182,0,1,morning_commute,zone_37.55_-122.39,zone_37.62_-122.31,0.971824405424248,7.41023222135391
trip_013078,00c67cb4783ab2fa,8,37.9,31.26,52.5,64.1,9,2,3,9,0.262,1,0,night,zone_37.88_-122.55,zone_37.83_-122.61,0.6432761230225772,14.881241412271235
trip_013079,00c67cb4783ab2fa,9,15.3,11.37,49.4,64.6,4,1,2,0,0.088,0,1,evening_commute,zone_37.73_-122.34,zone_37.76_-122.39,0.901841796818281,17.247961804773848
trip_013080,00c67cb4783ab2fa,10,27.4,24.12,50.7,55.6,6,2,5,18,0.126,0,1,evening_commute,zone_37.75_-122.46,zone_37.83_-122.53,0.8080578314416147,6.991274233217514
trip_013081,00c67cb4783ab2fa,11,13.4,11.63,42.6,57.0,2,4,3,0,0.219,0,1,evening_commute,zone_37.56_-122.21,zone_37.58_-122.21,0.901752779766461,25.892152295303454
trip_013082,00c67cb4783ab2fa,12,39.0,30.47,50.0,54.5,3,2,0,37,0.06,1,0,night,zone_37.65_-122.46,zone_37.68_-122.55,0.9908182618174364,8.470211586397324
trip_013083,00c67cb4783ab2fa,13,24.1,22.05,50.3,65.0,1,1,4,38,0.16,0,1,evening_commute,zone_37.86_-122.33,zone_37.91_-122.31,0.8404054873537201,10.921464706636586
trip_013084,00c67cb4783ab2fa,14,26.1,22.55,46.8,50.0,6,5,5,0,0.071,0,1,evening_commute,zone_37.52_-122.35,zone_37.59_-122.27,0.9877694829225835,7.414539328472358
trip_013085,00c67cb4783ab2fa,15,19.5,12.74,60.7,63.0,3,3,2,0,0.379,0,1,morning_commute,zone_37.67_-122.35,zone_37.69_-122.35,0.793136066891635,22.77293750829465
trip_013086,00c67cb4783ab2fa,16,21.4,13.11,52.1,62.7,3,3,4,0,0.17,0,1,evening_commute,zone_37.66_-122.42,zone_37.58_-122.37,0.9780588835003783,6.7814688410966495
trip_013087,00c67cb4783ab2fa,17,33.3,19.85,51.2,62.3,3,3,5,8,0.604,0,1,morning_commute,zone_37.55_-122.2,zone_37.65_-122.21,0.7801013885227251,34.56302774262305
trip_013088,00c67cb4783ab2fa,18,28.2,21.03,45.6,50.9,8,2,3,0,0.356,1,0,early_morning,zone_37.68_-122.3,zone_37.7_-122.39,0.9545035856168885,10.344570456418134
trip_013882,00c89280fe405154,1,9.5,5.63,31.6,46.0,1,0,0,0,0.01,0,0,midday,zone_37.51_-122.3,zone_37.56_-122.32,0.9520685736849529,15.733993067788287
trip_013883,00c89280fe405154,2,24.5,18.15,19.8,32.6,0,0,1,0,0.01,0,1,morning_commute,zone_37.65_-122.58,zone_37.72_-122.58,0.8423950945564999,6.229910420159653
trip_013884,00c89280fe405154,3,14.4,6.06,34.6,40.8,0,0,0,55,0.027,0,1,evening_commute,zone_37.82_-122.59,zone_37.73_-122.52,0.9822283676279663,9.299316380085079
trip_013885,00c89280fe405154,4,18.2,7.71,29.9,49.8,0,0,0,91,0.043,0,0,midday,zone_37.75_-122.46,zone_37.79_-122.5,0.9828495053892753,11.626933179974117
trip_013886,00c89280fe405154,5,21.8,10.46,31.6,36.8,0,0,0,0,0.006,0,1,morning_commute,zone_37.57_-122.35,zone_37.48_-122.3,0.8138657035231504,11.892739433893334
trip_013887,00c89280fe405154,6,21.0,13.67,32.4,37.7,1,2,0,0,0.012,0,0,midday,zone_37.87_-122.2,zone_37.81_-122.18,0.652911620861674,13.084507075268414
trip_013888,00c89280fe405154,7,10.8,4.59,38.7,44.6,0,0,1,0,0.049,0,0,midday,zone_37.66_-122.32,zone_37.64_-122.27,0.8805185739938617,16.92634895075112
trip_013889,00c89280fe405154,8,8.9,2.67,32.3,42.6,0,0,0,0,0.007,0,0,midday,zone_37.59_-122.49,zone_37.62_-122.5,0.9057758837607114,24.99848639038415
trip_013890,00c89280fe405154,9,30.4,16.64,24.5,46.6,0,0,0,0,0.021,1,0,night,zone_37.66_-122.35,zone_37.64_-122.31,0.9738394790147947,26.172573310818088
trip_013891,00c89280fe405154,10,27.5,17.6,26.4,33.1,0,0,1,0,0.034,0,0,midday,zone_37.53_-122.41,zone_37.5_-122.49,0.9995055063388403,11.624637930237213
trip_013892,00c89280fe405154,11,58.0,30.76,30.0,61.9,1,2,0,0,0.033,1,0,night,zone_37.53_-122.55,zone_37.58_-122.62,0.8542979736959788,14.775416707652903
trip_013893,00c89280fe405154,12,9.1,7.29,27.9,46.5,0,1,0,0,0.033,0,1,morning_commute,zone_37.81_-122.47,zone_37.88_-122.45,0.8634125742127254,14.96269047045814
trip_013894,00c89280fe405154,13,39.9,15.26,29.4,41.5,1,2,0,0,0.028,0,1,morning_commute,zone_37.66_-122.36,zone_37.72_-122.38,0.9074242391708669,21.644237150195615
trip_013895,00c89280fe405154,14,21.9,12.66,34.5,60.1,0,0,0,0,0.033,1,0,early_morning,zone_37.59_-122.21,zone_37.61_-122.24,0.9619766624618048,26.134384927773198
trip_013896,00c89280fe405154,15,31.1,14.71,32.4,35.2,0,0,0,0,0.022,1,0,early_morning,zone_37.83_-122.22,zone_37.9_-122.15,0.7509991992866628,23.324793145293853
trip_013897,00c89280fe405154,16,17.5,12.41,32.8,45.8,0,0,0,0,0.018,0,1,evening_commute,zone_37.57_-122.38,zone_37.63_-122.3,0.903190950830498,9.18862972750161
trip_013898,00c89280fe405154,17,27.9,15.84,32.8,38.0,2,1,0,0,0.04,0,1,evening_commute,zone_37.75_-122.43,zone_37.67_-122.42,0.9235780453862884,18.368489738139925
trip_010961,00f1339f026d0abb,1,11.0,8.18,33.5,51.7,1,0,0,0,0.055,0,1,morning_commute,zone_37.84_-122.42,zone_37.83_-122.44,0.9971977527421033,12.996163025872045
trip_010962,00f1339f026d0abb,2,26.0,15.32,33.2,45.3,0,1,0,0,0.022,0,0,midday,zone_37.65_-122.42,zone_37.65_-122.34,0.761218134110878,19.237394108917833
trip_010963,00f1339f026d0abb,3,74.0,25.02,41.1,48.3,1,3,3,0,0.077,0,0,midday,zone_37.61_-122.41,zone_37.7_-122.47,0.9070447410579155,6.826571671111534
trip_010964,00f1339f026d0abb,4,26.6,12.22,29.9,40.6,0,0,1,0,0.202,0,1,morning_commute,zone_37.85_-122.31,zone_37.86_-122.36,0.8676974497157325,10.039149328085436
trip_010965,00f1339f026d0abb,5,28.2,18.76,34.8,50.9,2,0,2,0,0.083,0,1,evening_commute,zone_37.6_-122.41,zone_37.51_-122.43,0.7843520848263635,14.838464749918144
trip_010966,00f1339f026d0abb,6,47.7,20.72,43.2,72.7,1,3,2,0,0.038,0,1,evening_commute,zone_37.51_-122.31,zone_37.46_-122.23,0.9291526839348284,20.755204435306695
trip_010967,00f1339f026d0abb,7,18.1,8.66,33.3,47.6,0,0,1,0,0.035,0,1,evening_commute,zone_37.84_-122.26,zone_37.85_-122.23,0.8934093057775262,9.948544513879177
trip_010968,00f1339f026d0abb,8,63.0,45.76,31.5,42.7,4,1,2,0,0.047,0,1,evening_commute,zone_37.87_-122.59,zone_37.78_-122.58,0.8808475185670661,11.974653634495368
trip_010969,00f1339f026d0abb,9,42.5,7.29,36.7,49.2,2,4,1,0,0.024,0,1,evening_commute,zone_37.75_-122.44,zone_37.77_-122.44,0.9000611203156192,23.103348666060842
trip_010970,00f1339f026d0abb,10,44.8,30.39,36.8,59.3,4,0,1,0,0.015,0,1,evening_commute,zone_37.88_-122.29,zone_37.86_-122.33,0.9756469680780248,12.411003201790425
trip_010971,00f1339f026d0abb,11,7.7,3.89,26.8,39.9,0,0,1,0,0.065,0,1,morning_commute,zone_37.62_-122.37,zone_37.62_-122.31,0.9255120684233127,14.361560418501464
trip_010972,00f1339f026d0abb,12,42.8,27.3,37.1,41.0,0,2,3,0,0.105,0,1,morning_commute,zone_37.68_-122.27,zone_37.73_-122.2,0.9763939359250771,17.95491300265141
trip_010973,00f1339f026d0abb,13,24.8,18.09,33.1,36.6,1,3,1,0,0.049,0,0,midday,zone_37.54_-122.26,zone_37.6_-122.17,0.8885031527193569,9.422009789739615
trip_010974,00f1339f026d0abb,14,32.8,18.33,42.2,49.3,1,2,1,0,0.091,1,0,night,zone_37.6_-122.44,zone_37.51_-122.34,0.8113856361167892,13.073945865130774
trip_007893,0146d0dbbee1eb8b,1,25.5,15.86,42.0,49.3,0,0,0,0,0.135,0,1,evening_commute,zone_37.76_-122.51,zone_37.8_-122.46,0.839425331520926,11.529841627894331
trip_007894,0146d0dbbee1eb8b,2,22.5,17.92,44.7,49.9,0,2,2,13,0.031,0,0,midday,zone_37.8_-122.41,zone_37.87_-122.47,0.7002972459361045,7.802524608790762
trip_007895,0146d0dbbee1eb8b,3,32.1,17.56,44.4,51.9,0,2,2,0,0.066,0,1,evening_commute,zone_37.62_-122.53,zone_37.65_-122.6,0.7149749156831788,17.970359534497895
trip_007896,0146d0dbbee1eb8b,4,52.2,50.24,42.1,53.7,2,1,2,0,0.023,1,0,early_morning,zone_37.66_-122.2,zone_37.58_-122.27,0.966789736686249,17.23246289223822
trip_007897,0146d0dbbee1eb8b,5,18.3,11.8,47.8,61.9,0,0,0,0,0.057,0,1,morning_commute,zone_37.57_-122.42,zone_37.54_-122.47,0.8801955371592179,15.797866716435031
trip_007898,0146d0dbbee1eb8b,6,27.8,21.82,43.2,60.9,1,0,1,46,0.019,1,0,night,zone_37.64_-122.25,zone_37.59_-122.19,0.9306208282855797,18.449651629625812
trip_007899,0146d0dbbee1eb8b,7,27.9,21.45,34.7,46.8,1,0,1,0,0.08,0,1,morning_commute,zone_37.59_-122.26,zone_37.54_-122.16,0.8863519016724937,14.795514098318641
trip_007900,0146d0dbbee1eb8b,8,15.5,11.81,47.6,58.3,1,0,1,0,0.181,0,1,evening_commute,zone_37.89_-122.41,zone_37.95_-122.35,0.9405155728892318,30.36334781219134
